CODI Sistema;Nom del sistema/EDAR;Codi_municipi;Municipi EDAR;Comarca;Província;Conca;Administració actuant;Empresa explotadora;Any posada en marxa;Any ampliació;Tipus de tractament;"Cabal de disseny
 (m³/dia)";"Població de disseny 
(h-e)";"F. sèptiques
(Nre.)";"Bombaments
(Nre.)";"Col·lectors
(km)";"Emissaris
(Nre.)";"Emissaris
(km)";Municipis assistits;Fitlre;Punt d'abocament;Homes;Dones;Total
DAGE;ÀGER;250024;Àger;Noguera;Lleida;La Noguera Pallaresa;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2012;NA;Biològic;460,00;2300;0;0;1,20;0;0,00;ÀGER;1;riu Fred de Pui;320;268;588
DAGR;AGRAMUNT;250030;Agramunt;Urgell;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1995;NA;Biològic amb eliminació de Nitrogen i Fòsfor;2700,00;18000;0;1;3,50;0;0,00;AGRAMUNT;1;RIU SIÓ;2689;2682;5371
DAGL;AGULLANA;170010;Agullana;Alt Empordà;Girona;La Muga;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2006;NA;Biològic amb eliminació de Nitrogen;203,50;1000;0;0;NA;0;0,00;AGULLANA (Agullana);1;Riera del Gou (Muga);411;420;831
DALE;ALBESA;250083;Albesa;Noguera;Lleida;La Noguera Ribagorçana;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2009;NA;Biològic;630,00;4347;0;0;1,11;0;0,00;ALBESA;1;RIU NOGUERA RIBAGORÇANA;855;701;1556
DALS;ALCARRÀS;250117;Alcarràs;Segrià;Lleida;El Segre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;2001;NA;Biològic;1680,00;6440;0;0;0,57;0;0,00;ALCARRÀS;1;RIU SEGRE;4957;4557;9514
DALX;ALEIXAR;430075;Aleixar, l';Baix Camp;Tarragona;Rieres de la costa entre Cunit i Vandellòs i l'Hospitalet de l'Infant;Consell Comarcal del Baix Camp;COMAIGUA, SL;2016;NA;Biològic;360,00;1440;0;0;0,88;0;0,00;Aleixar;1;Riera de la Mussara;450;423;873
DAFC;ALFARA DE CARLES;430081;Alfara de Carles;Baix Ebre;Tarragona;L'Ebre;Consell Comarcal del Baix Ebre;ACCIONA AGUA, S.A.U.;2010;NA;Biològic;115,00;383;0;0;0,94;0;0,00;ALFARA DE CARLES;1;barranc del Llop;199;178;377
DALF;ALFÉS;250143;Alfés;Segrià;Lleida;El Segre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;2002;NA;Llacunatge;15,00;NA;1;0;0,12;0;0,00;ALFÉS;1;DESGUÀS LA SECLETA;162;150;312
DALGR;ALGERRI;250156;Algerri;Noguera;Lleida;La Noguera Ribagorçana;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2011;NA;Biològic;125,00;710;0;0;0,47;0;0,00;ALGERRI;1;BARRANC DE LA SISQUELLA;206;180;386
DALN;ALINS;250175;Alins;Pallars Sobirà;Lleida;La Noguera Pallaresa;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2010;NA;Biològic;120,00;600;0;0;0,43;0;0,00;ALINS;1;RIU DE LA NOGUERA VALLFERRERA;144;132;276
DAREU;ÀREU;250175;Alins;Pallars Sobirà;Lleida;La Noguera Pallaresa;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2010;NA;Biològic;120,00;600;0;0;0,06;0;0,00;ALINS (Àreu);1;RIU DE LA NOGUERA VALLFERRERA;144;132;276
DALIO;ALIÓ;430108;Alió;Alt Camp;Tarragona;El Francolí;Ajuntament Alió;AJUNTAMENT ALIÓ;2013;NA;Llacunatge;100,50;419;2;0;NA;0;0,00;ALIÓ;1;barranc Fonollosa;208;231;439
DALM;ALMACELLES;250194;Almacelles;Segrià;Lleida;El Segre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;2001;NA;Biològic amb eliminació de Nitrogen i Fòsfor;1985,00;9660;0;0;2,55;0;0,00;ALMACELLES;1;CLAMOR AMARGA;3584;3207;6791
DAMTN;ALMATRET SECTOR NORD;250208;Almatret;Segrià;Lleida;L'Ebre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;2002;NA;Llacunatge;25,00;104;1;0;0,20;0;0,00;ALMATRET;1;PARTIDA DE LES FRANQUESES;172;135;307
DAMTS;ALMATRET SECTOR SUD;250208;Almatret;Segrià;Lleida;L'Ebre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;2002;NA;Llacunatge;57,00;373;1;0;0,07;0;0,00;ALMATRET;1;PARTIDA BASSES ROIJES;172;135;307
DALP;ALP;170062;Alp;Cerdanya;Girona;El Segre;Consell Comarcal de la Cerdanya;ACSA-SAV-DAM (UTE EDAR LA CERDANYA);2004;NA;Biològic;2000,00;8333;0;1;0,55;1;0,10;ALP (Alp);1;Ribera d'Alp;828;752;1580
DALPE;ALPENS;080044;Alpens;Osona;Barcelona;El Llobregat;Consell Comarcal d'Osona;Depuradores d'Osona;1999;NA;Biològic;200,00;833;0;0;0,92;0;0,00;ALPENS (Alpens);1;Riera d'Alpens;144;122;266
DANG;ANGLÈS;170084;Anglès;Selva;Girona;El Ter;Consell Comarcal de la Selva;ACCIONA AGUA, S.A.U.;2003;2016;Biològic amb eliminació de Nitrogen i Fòsfor;4500,00;24150;0;0;0,80;0;0,00;ANGLÈS;1;Rec (al costat de l'EDAR), riu Ter;2780;2819;5599
DARB;ARBECA;250292;Arbeca;Garrigues;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2012;NA;Biològic amb eliminació de Nitrogen;900,00;3000;0;0;2,13;0;0,00;ARBECA;1;desguàs lo Reguer;1100;1044;2144
DARNE;ARNES;430189;Arnes;Terra Alta;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;1996;NA;Llacunatge;324,00;1305;0;0;1,04;0;0,00;ARNES (Arnes);1;Riu Algars;224;231;455
DARS;ARTESA DE SEGRE;250349;Artesa de Segre;Noguera;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2005;NA;Biològic amb eliminació de Nitrogen i Fòsfor;862,00;3203;0;0;2,36;0;0,00;ARTESA DE SEGRE;1;RIU SENILL;1766;1666;3432
DASC;ASCÓ;430192;Ascó;Ribera d'Ebre;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2008;NA;Biològic amb eliminació de Nitrogen;750,00;5250;0;3;1,12;0;0,00;ASCÓ (Ascó);1;Riu Ebre;856;804;1660
DAVI;AVINYÓ;080121;Avinyó;Bages;Barcelona;El Llobregat;Agència Catalana de l'Aigua;CADAGUA;2002;NA;Biològic amb eliminació de Nitrogen i Fòsfor;648,00;4320;0;1;3,90;0;0,00;AVINYÓ (Avinyó);1;Riera Gavarresa;1127;1148;2275
DSUC;CANTALLOPS;080137;Avinyonet del Penedès;Alt Penedès;Barcelona;Rieres del Garraf;Mancomunitat Penedès-Garraf;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2018;NA;Tractament extensiu;100,00;500;2;0;0,33;0;0,00;Avinyonet del Penedès i Subirats;1;Riera dels Pelagons;903;798;1701
DBPGS;GERRI DE LA SAL;250390;Baix Pallars;Pallars Sobirà;Lleida;La Noguera Pallaresa;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2010;NA;Biològic;140,00;700;0;2;0,30;0;0,00;BAIX PALLARS (Gerri de la Sal);1;NOGUERA PALLARESA;182;153;335
DBLS;BALSARENY;080180;Balsareny;Bages;Barcelona;El Llobregat;Ajuntament Balsareny;SOCIEDAD GENERAL DE AGUAS DE BARCELONA, SA;1991;NA;Biològic;1500,00;9375;0;0;2,90;0;0,00;BALSARENY (Balsareny);1;Riu Llobregat;1562;1597;3159
DBAS;BÀSCARA;170160;Bàscara;Alt Empordà;Girona;El Fluvià;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1997;NA;Biològic;250,00;625;0;0;0,30;0;0,00;BÀSCARA(Bàscara);1;Riu Fluvià;520;484;1004
DBAT;BATEA;430228;Batea;Terra Alta;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2003;NA;Biològic amb eliminació de Nitrogen;555,00;3700;0;0;0,10;0;0,00;BATEA (Batea);1;Barranc de la Vall Major;944;946;1890
DBLL;BELL-LLOC D'URGELL;250485;Bell-Lloc d'Urgell;Pla d'Urgell;Lleida;El Segre;Consell Comarcal del Pla d'Urgell;UTE DEPURPLA 2;2002;NA;Biològic;2400,00;4000;0;1;2,09;0;0,00;BELL-LLOC D'URGELL;1;RIU LES CANALS;1139;1176;2315
DBEL;BELLAGUARDA;251706;Bellaguarda;Garrigues;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2009;NA;Biològic amb eliminació de Nitrogen;70,00;554;0;0;0,78;0;0,00;BELLAGUARDA;1;SÈQUIA DE LA VALL DE SANT PERE;152;135;287
DBLM;BELLMUNT DEL PRIORAT;430234;Bellmunt del Priorat;Priorat;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2009;NA;Biològic;85,00;538;0;3;2,46;0;0,00;BELLMUNT DEL PRIORAT (Bellmunt del Priorat);1;Barranc de Fontbella ( Riu Siurana);145;135;280
DBLP;BELLPUIG;250501;Bellpuig;Urgell;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1996;2007;Biològic;1725,00;10494;0;0;2,60;0;0,00;BELLPUIG;1;RIU CORB;2705;2428;5133
DBLV;BELLVEI;430249;Bellvei;Baix Penedès;Tarragona;Rieres de la costa entre Cunit i Vandellòs i l'Hospitalet de l'Infant;Consell Comarcal del Baix Penedès;REMONDIS AGUA, S.A.U;1994;NA;Biològic;400,00;2167;0;0;0,27;0;0,00;BELLVEI (Bellvei);1;Torrent de la Palliseta;1132;1071;2203
DBVI;BELLVÍS;250523;Bellvís;Pla d'Urgell;Lleida;El Segre;Consell Comarcal del Pla d'Urgell;UTE DEPURPLA 2;2003;NA;Biològic;1141,00;2966;0;1;1,99;0;0,00;BELLVIS;1;SÈQUIA DEL MOLÍ;1149;1106;2255
DBNF;BENIFALLET;430252;Benifallet;Baix Ebre;Tarragona;L'Ebre;Consell Comarcal del Baix Ebre;ACCIONA AGUA, S.A.U.;2010;NA;Biològic amb eliminació de Nitrogen;285,00;1615;0;2;1,87;0;0,00;BENIFALLET;1;riu Ebre;348;391;739
DBER;BERGA;080229;Berga;Berguedà;Barcelona;El Llobregat;Consell Comarcal del Berguedà;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;1995;2016;Biològic;8300,00;41500;0;1;5,00;0;0,00;BERGA (Berga);1;Riu Llobregat;8166;8328;16494
