"","Zona","Compound","date","nddd","poblacio"
"1","Carmel","Acetaminophen","201901",66059.22,26499
"2","Carmel","Acetaminophen","201902",58516.52,26499
"3","Carmel","Acetaminophen","201903",59623.68,26499
"4","Carmel","Acetaminophen","201904",60459.46,26499
"5","Carmel","Acetaminophen","201905",59984.64,26499
"6","Carmel","Acetaminophen","201906",58482.56,26499
"7","Carmel","Acetaminophen","201907",65056.8,26499
"8","Carmel","Acetaminophen","201908",45507.23,26499
"9","Carmel","Acetaminophen","201909",55400.9,26499
"10","Carmel","Acetaminophen","201910",65415.37,26499
"11","Carmel","Acetaminophen","201911",64420.39,26499
"12","Carmel","Acetaminophen","201912",64269.76,26499
"13","Carmel","Acetylsalicylic acid","201901",61359.33,26499
"14","Carmel","Acetylsalicylic acid","201902",56050.66,26499
"15","Carmel","Acetylsalicylic acid","201903",61870,26499
"16","Carmel","Acetylsalicylic acid","201904",59886,26499
"17","Carmel","Acetylsalicylic acid","201905",65206.05,26499
"18","Carmel","Acetylsalicylic acid","201906",56882,26499
"19","Carmel","Acetylsalicylic acid","201907",67950,26499
"20","Carmel","Acetylsalicylic acid","201908",50194.02,26499
"21","Carmel","Acetylsalicylic acid","201909",58570,26499
"22","Carmel","Acetylsalicylic acid","201910",65472,26499
"23","Carmel","Acetylsalicylic acid","201911",61172,26499
"24","Carmel","Acetylsalicylic acid","201912",63430,26499
"25","Carmel","Alprazolam","201901",9545,26499
"26","Carmel","Alprazolam","201902",7687.5,26499
"27","Carmel","Alprazolam","201903",9455,26499
"28","Carmel","Alprazolam","201904",9557.5,26499
"29","Carmel","Alprazolam","201905",8695,26499
"30","Carmel","Alprazolam","201906",9960,26499
"31","Carmel","Alprazolam","201907",10397.5,26499
"32","Carmel","Alprazolam","201908",8195,26499
"33","Carmel","Alprazolam","201909",8317.5,26499
"34","Carmel","Alprazolam","201910",10717.5,26499
"35","Carmel","Alprazolam","201911",8460,26499
"36","Carmel","Alprazolam","201912",9410,26499
"37","Carmel","Atenolol","201901",14316.04,26499
"38","Carmel","Atenolol","201902",11933.35,26499
"39","Carmel","Atenolol","201903",12342.67,26499
"40","Carmel","Atenolol","201904",14186.69,26499
"41","Carmel","Atenolol","201905",11830.7,26499
"42","Carmel","Atenolol","201906",11573.35,26499
"43","Carmel","Atenolol","201907",13752.01,26499
"44","Carmel","Atenolol","201908",9950.71,26499
"45","Carmel","Atenolol","201909",12658.71,26499
"46","Carmel","Atenolol","201910",13992.01,26499
"47","Carmel","Atenolol","201911",11660.02,26499
"48","Carmel","Atenolol","201912",12805.35,26499
"49","Carmel","Azithromycin","201901",1820.32,26499
"50","Carmel","Azithromycin","201902",1857.32,26499
"51","Carmel","Azithromycin","201903",1318,26499
"52","Carmel","Azithromycin","201904",1414.32,26499
"53","Carmel","Azithromycin","201905",1419.98,26499
"54","Carmel","Azithromycin","201906",1175,26499
"55","Carmel","Azithromycin","201907",1176.31,26499
"56","Carmel","Azithromycin","201908",750,26499
"57","Carmel","Azithromycin","201909",1003,26499
"58","Carmel","Azithromycin","201910",1434.64,26499
"59","Carmel","Azithromycin","201911",1490,26499
"60","Carmel","Azithromycin","201912",1477,26499
"61","Carmel","Benzamides","201901",264.52,26499
"62","Carmel","Benzamides","201902",290.8,26499
"63","Carmel","Benzamides","201903",260.84,26499
"64","Carmel","Benzamides","201904",302.04,26499
"65","Carmel","Benzamides","201905",84.56,26499
"66","Carmel","Benzamides","201906",172.76,26499
"67","Carmel","Benzamides","201907",152.88,26499
"68","Carmel","Benzamides","201908",101.4,26499
"69","Carmel","Benzamides","201909",138.88,26499
"70","Carmel","Benzamides","201910",122.08,26499
"71","Carmel","Benzamides","201911",135.52,26499
"72","Carmel","Benzamides","201912",66.88,26499
"73","Carmel","Bezafibrate","201901",40,26499
"74","Carmel","Bezafibrate","201902",40,26499
"75","Carmel","Bezafibrate","201903",40,26499
"76","Carmel","Bezafibrate","201904",40,26499
"77","Carmel","Bezafibrate","201905",40,26499
"78","Carmel","Bezafibrate","201906",60,26499
"79","Carmel","Bezafibrate","201907",40,26499
"80","Carmel","Bezafibrate","201908",20,26499
"81","Carmel","Bezafibrate","201909",40,26499
"82","Carmel","Bezafibrate","201910",40,26499
"83","Carmel","Bezafibrate","201911",20,26499
"84","Carmel","Bezafibrate","201912",20,26499
"85","Carmel","Carbamazepine","201901",1420,26499
"86","Carmel","Carbamazepine","201902",1272,26499
"87","Carmel","Carbamazepine","201903",1716,26499
"88","Carmel","Carbamazepine","201904",1116,26499
"89","Carmel","Carbamazepine","201905",1638,26499
"90","Carmel","Carbamazepine","201906",1416,26499
"91","Carmel","Carbamazepine","201907",1776,26499
"92","Carmel","Carbamazepine","201908",956,26499
