"","Zona","poblacio_prevalent","scensal"
"1","Carmel",NA,"0801906016"
"2","Carmel",965,"0801907026"
"3","Carmel",979,"0801907056"
"4","Carmel",1109,"0801907059"
"5","Carmel",1159,"0801907075"
"6","Carmel",1164,"0801907062"
"7","Carmel",1170,"0801907058"
"8","Carmel",1212,"0801907061"
"9","Carmel",1215,"0801907068"
"10","Carmel",1247,"0801907063"
"11","Carmel",1278,"0801907078"
"12","Carmel",1297,"0801907077"
"13","Carmel",1300,"0801907076"
"14","Carmel",1319,"0801907069"
"15","Carmel",1355,"0801907071"
"16","Carmel",1404,"0801907070"
"17","Carmel",1476,"0801907067"
"18","Carmel",1676,"0801907060"
"19","Carmel",1719,"0801907064"
"20","Carmel",1726,"0801907066"
"21","Carmel",1729,"0801907065"
"22","Poblenou",NA,"0801910057"
"23","Poblenou",NA,"0801910061"
"24","Poblenou",NA,"0801910064"
"25","Poblenou",NA,"0801910066"
"26","Poblenou",1100,"0801910063"
"27","Poblenou",1391,"0801910062"
"28","Poblenou",1406,"0801910059"
"29","Poblenou",1449,"0801910060"
"30","Poblenou",1547,"0801910065"
"31","Poblenou",1573,"0801910070"
"32","St. Gervasi",NA,"0801905057"
"33","St. Gervasi",NA,"0801905058"
"34","St. Gervasi",NA,"0801905060"
"35","St. Gervasi",NA,"0801905053"
"36","St. Gervasi",NA,"0801905054"
"37","St. Gervasi",NA,"0801905055"
"38","St. Gervasi",774,"0801905056"
"39","St. Gervasi",1044,"0801905059"
"40","St. Gervasi",1203,"0801905062"
"41","St. Gervasi",1265,"0801905074"
"42","St. Gervasi",1291,"0801905063"
