Sexo	Sección	País de nacimiento	Total
Ambos Sexos	TOTAL	Total Población	771.044
Ambos Sexos	TOTAL	Nacidos en España	597.359
Ambos Sexos	TOTAL	Nacidos en el Extranjero	173.685
Ambos Sexos	TOTAL	Total Unión Europea	38.397
Ambos Sexos	TOTAL	Alemania	3.127
Ambos Sexos	TOTAL	Bulgaria	1.685
Ambos Sexos	TOTAL	Francia	8.160
Ambos Sexos	TOTAL	Italia	2.087
Ambos Sexos	TOTAL	Polonia	1.017
Ambos Sexos	TOTAL	Portugal	1.453
Ambos Sexos	TOTAL	Reino Unido	3.099
Ambos Sexos	TOTAL	Rumanía	12.828
Ambos Sexos	TOTAL	Total Europa No Comunitaria	14.353
Ambos Sexos	TOTAL	Rusia	6.533
Ambos Sexos	TOTAL	Ucrania	4.210
Ambos Sexos	TOTAL	Total África	55.160
Ambos Sexos	TOTAL	Argelia	1.047
Ambos Sexos	TOTAL	Marruecos	38.544
Ambos Sexos	TOTAL	Nigeria	496
Ambos Sexos	TOTAL	Senegal	3.255
Ambos Sexos	TOTAL	Total América	53.729
Ambos Sexos	TOTAL	Argentina	6.478
Ambos Sexos	TOTAL	Bolivia	3.465
Ambos Sexos	TOTAL	Brasil	2.991
Ambos Sexos	TOTAL	Colombia	6.971
Ambos Sexos	TOTAL	Cuba	1.955
Ambos Sexos	TOTAL	Chile	1.653
Ambos Sexos	TOTAL	Ecuador	3.682
Ambos Sexos	TOTAL	Paraguay	511
Ambos Sexos	TOTAL	Perú	1.964
Ambos Sexos	TOTAL	República Dominicana	2.778
Ambos Sexos	TOTAL	Uruguay	3.046
Ambos Sexos	TOTAL	Venezuela	2.051
Ambos Sexos	TOTAL	Total Asia	11.907
Ambos Sexos	TOTAL	China	3.439
Ambos Sexos	TOTAL	Pakistán	1.198
Ambos Sexos	TOTAL	Total Oceanía	139
Ambos Sexos	1700101001	Total Población	831
Ambos Sexos	1700101001	Nacidos en España	689
Ambos Sexos	1700101001	Nacidos en el Extranjero	142
Ambos Sexos	1700101001	Total Unión Europea	50
Ambos Sexos	1700101001	Alemania	1
Ambos Sexos	1700101001	Bulgaria	2
Ambos Sexos	1700101001	Francia	28
Ambos Sexos	1700101001	Italia	2
Ambos Sexos	1700101001	Polonia	0
Ambos Sexos	1700101001	Portugal	7
Ambos Sexos	1700101001	Reino Unido	1
Ambos Sexos	1700101001	Rumanía	6
Ambos Sexos	1700101001	Total Europa No Comunitaria	6
Ambos Sexos	1700101001	Rusia	2
Ambos Sexos	1700101001	Ucrania	1
Ambos Sexos	1700101001	Total África	26
Ambos Sexos	1700101001	Argelia	0
Ambos Sexos	1700101001	Marruecos	14
Ambos Sexos	1700101001	Nigeria	0
Ambos Sexos	1700101001	Senegal	5
Ambos Sexos	1700101001	Total América	57
Ambos Sexos	1700101001	Argentina	6
Ambos Sexos	1700101001	Bolivia	7
Ambos Sexos	1700101001	Brasil	4
Ambos Sexos	1700101001	Colombia	8
Ambos Sexos	1700101001	Cuba	6
Ambos Sexos	1700101001	Chile	2
Ambos Sexos	1700101001	Ecuador	5
Ambos Sexos	1700101001	Paraguay	0
Ambos Sexos	1700101001	Perú	4
Ambos Sexos	1700101001	República Dominicana	5
Ambos Sexos	1700101001	Uruguay	1
Ambos Sexos	1700101001	Venezuela	1
Ambos Sexos	1700101001	Total Asia	3
Ambos Sexos	1700101001	China	3
Ambos Sexos	1700101001	Pakistán	0
Ambos Sexos	1700101001	Total Oceanía	0
