Sexo	Sección	País de nacimiento	Total
Ambos Sexos	TOTAL	Total Población	434.930
Ambos Sexos	TOTAL	Nacidos en España	351.723
Ambos Sexos	TOTAL	Nacidos en el Extranjero	83.207
Ambos Sexos	TOTAL	Total Unión Europea	25.990
Ambos Sexos	TOTAL	Alemania	316
Ambos Sexos	TOTAL	Bulgaria	2.039
Ambos Sexos	TOTAL	Francia	1.256
Ambos Sexos	TOTAL	Italia	350
Ambos Sexos	TOTAL	Polonia	879
Ambos Sexos	TOTAL	Portugal	1.042
Ambos Sexos	TOTAL	Reino Unido	298
Ambos Sexos	TOTAL	Rumanía	19.084
Ambos Sexos	TOTAL	Total Europa No Comunitaria	5.804
Ambos Sexos	TOTAL	Rusia	777
Ambos Sexos	TOTAL	Ucrania	2.860
Ambos Sexos	TOTAL	Total África	30.894
Ambos Sexos	TOTAL	Argelia	2.358
Ambos Sexos	TOTAL	Marruecos	16.012
Ambos Sexos	TOTAL	Nigeria	595
Ambos Sexos	TOTAL	Senegal	4.313
Ambos Sexos	TOTAL	Total América	17.476
Ambos Sexos	TOTAL	Argentina	1.533
Ambos Sexos	TOTAL	Bolivia	1.417
Ambos Sexos	TOTAL	Brasil	1.966
Ambos Sexos	TOTAL	Colombia	4.356
Ambos Sexos	TOTAL	Cuba	613
Ambos Sexos	TOTAL	Chile	325
Ambos Sexos	TOTAL	Ecuador	1.543
Ambos Sexos	TOTAL	Paraguay	173
Ambos Sexos	TOTAL	Perú	1.267
Ambos Sexos	TOTAL	República Dominicana	1.820
Ambos Sexos	TOTAL	Uruguay	358
Ambos Sexos	TOTAL	Venezuela	938
Ambos Sexos	TOTAL	Total Asia	3.021
Ambos Sexos	TOTAL	China	1.403
Ambos Sexos	TOTAL	Pakistán	817
Ambos Sexos	TOTAL	Total Oceanía	22
Ambos Sexos	2500101001	Total Población	179
Ambos Sexos	2500101001	Nacidos en España	156
Ambos Sexos	2500101001	Nacidos en el Extranjero	23
Ambos Sexos	2500101001	Total Unión Europea	20
Ambos Sexos	2500101001	Alemania	3
Ambos Sexos	2500101001	Bulgaria	0
Ambos Sexos	2500101001	Francia	5
Ambos Sexos	2500101001	Italia	0
