Sexo	Sección	País de nacimiento	Total
Ambos Sexos	TOTAL	Total Población	804.664
Ambos Sexos	TOTAL	Nacidos en España	659.924
Ambos Sexos	TOTAL	Nacidos en el Extranjero	144.740
Ambos Sexos	TOTAL	Total Unión Europea	35.940
Ambos Sexos	TOTAL	Alemania	2.473
Ambos Sexos	TOTAL	Bulgaria	1.681
Ambos Sexos	TOTAL	Francia	4.215
Ambos Sexos	TOTAL	Italia	1.736
Ambos Sexos	TOTAL	Polonia	1.014
Ambos Sexos	TOTAL	Portugal	931
Ambos Sexos	TOTAL	Reino Unido	2.791
Ambos Sexos	TOTAL	Rumanía	17.168
Ambos Sexos	TOTAL	Total Europa No Comunitaria	11.402
Ambos Sexos	TOTAL	Rusia	3.464
Ambos Sexos	TOTAL	Ucrania	2.915
Ambos Sexos	TOTAL	Total África	43.516
Ambos Sexos	TOTAL	Argelia	1.677
Ambos Sexos	TOTAL	Marruecos	36.175
Ambos Sexos	TOTAL	Nigeria	667
Ambos Sexos	TOTAL	Senegal	2.793
Ambos Sexos	TOTAL	Total América	43.852
Ambos Sexos	TOTAL	Argentina	6.839
Ambos Sexos	TOTAL	Bolivia	1.991
Ambos Sexos	TOTAL	Brasil	3.224
Ambos Sexos	TOTAL	Colombia	9.438
Ambos Sexos	TOTAL	Cuba	2.433
Ambos Sexos	TOTAL	Chile	1.628
Ambos Sexos	TOTAL	Ecuador	4.059
Ambos Sexos	TOTAL	Paraguay	740
Ambos Sexos	TOTAL	Perú	2.166
Ambos Sexos	TOTAL	República Dominicana	2.956
Ambos Sexos	TOTAL	Uruguay	2.293
Ambos Sexos	TOTAL	Venezuela	2.796
Ambos Sexos	TOTAL	Total Asia	9.955
Ambos Sexos	TOTAL	China	3.194
Ambos Sexos	TOTAL	Pakistán	3.723
Ambos Sexos	TOTAL	Total Oceanía	75
Ambos Sexos	4300101001	Total Población	901
Ambos Sexos	4300101001	Nacidos en España	818
Ambos Sexos	4300101001	Nacidos en el Extranjero	83
Ambos Sexos	4300101001	Total Unión Europea	28
Ambos Sexos	4300101001	Alemania	5
Ambos Sexos	4300101001	Bulgaria	0
Ambos Sexos	4300101001	Francia	1
Ambos Sexos	4300101001	Italia	0
Ambos Sexos	4300101001	Polonia	0
Ambos Sexos	4300101001	Portugal	0
