"codi_sc";"cpro";"cmun";"dist";"secc";"t1_1";"codi_edar"
"0800101001";"08";"001";"01";"001";"1220";"XXXX"
"0800101002";"08";"001";"01";"002";"2110";"DABR"
"0800101003";"08";"001";"01";"003";"915";"DABR"
"0800101004";"08";"001";"01";"004";"2370";"DABR"
"0800101005";"08";"001";"01";"005";"1275";"DABR"
"0800101007";"08";"001";"01";"007";"2320";"DABR"
"0800101008";"08";"001";"01";"008";"1585";"XXXX"
"0800201001";"08";"002";"01";"001";"250";NA
"0800301001";"08";"003";"01";"001";"2250";NA
"0800301002";"08";"003";"01";"002";"2280";NA
"0800301003";"08";"003";"01";"003";"2470";NA
"0800301004";"08";"003";"01";"004";"2285";NA
"0800401001";"08";"004";"01";"001";"295";NA
"0800501001";"08";"005";"01";"001";"2210";NA
"0800501002";"08";"005";"01";"002";"1710";NA
"0800501003";"08";"005";"01";"003";"2480";NA
"0800501004";"08";"005";"01";"004";"960";NA
"0800501005";"08";"005";"01";"005";"750";NA
"0800601001";"08";"006";"01";"001";"1600";NA
"0800601002";"08";"006";"01";"002";"4235";NA
"0800601003";"08";"006";"01";"003";"945";NA
"0800602001";"08";"006";"02";"001";"1400";NA
"0800602002";"08";"006";"02";"002";"1815";NA
"0800602003";"08";"006";"02";"003";"1120";NA
"0800602004";"08";"006";"02";"004";"3395";NA
"0800701001";"08";"007";"01";"001";"1285";NA
"0800701002";"08";"007";"01";"002";"2850";NA
"0800702001";"08";"007";"02";"001";"2295";NA
"0800702002";"08";"007";"02";"002";"1945";NA
"0800801001";"08";"008";"01";"001";"245";NA
"0800901001";"08";"009";"01";"001";"810";"DMAT"
"0800901002";"08";"009";"01";"002";"1665";"DMAT"
"0800901003";"08";"009";"01";"003";"1275";"DMAT"
"0800901004";"08";"009";"01";"004";"1545";"DMAT"
"0800901005";"08";"009";"01";"005";"1030";"DMAT"
"0800901006";"08";"009";"01";"006";"2080";"DMAT"
"0800902001";"08";"009";"02";"001";"1895";"DMAT"
"0800902002";"08";"009";"02";"002";"1445";"DMAT"
"0801001001";"08";"010";"01";"001";"1205";"DSLL"
"0801002001";"08";"010";"02";"001";"1400";"DSLL"
"0801002002";"08";"010";"02";"002";"805";"DSLL"
"0801002003";"08";"010";"02";"003";"2070";"DSLL"
"0801101001";"08";"011";"01";"001";"2260";NA
"0801201001";"08";"012";"01";"001";"2245";NA
"0801301001";"08";"013";"01";"001";"1715";NA
"0801401001";"08";"014";"01";"001";"2405";NA
"0801501001";"08";"015";"01";"001";"1235";"DBSS"
"0801501002";"08";"015";"01";"002";"1470";"DBSS"
"0801501003";"08";"015";"01";"003";"1200";"DBSS"
"0801501004";"08";"015";"01";"004";"1375";"DBSS"
"0801501005";"08";"015";"01";"005";"1675";"DBSS"
"0801501007";"08";"015";"01";"007";"1545";NA
"0801501008";"08";"015";"01";"008";"600";NA
"0801502001";"08";"015";"02";"001";"1260";"DBSS"
"0801502002";"08";"015";"02";"002";"1715";"DBSS"
"0801502003";"08";"015";"02";"003";"965";"DBSS"
"0801502004";"08";"015";"02";"004";"2060";"DBSS"
"0801502005";"08";"015";"02";"005";"1860";"DBSS"
"0801502007";"08";"015";"02";"007";"770";"DBSS"
"0801502008";"08";"015";"02";"008";"2350";"DBSS"
"0801502009";"08";"015";"02";"009";"1075";"DBSS"
"0801502010";"08";"015";"02";"010";"1110";"DBSS"
"0801502011";"08";"015";"02";"011";"1445";"DBSS"
"0801502012";"08";"015";"02";"012";"1240";"DBSS"
"0801502013";"08";"015";"02";"013";"840";"DBSS"
"0801502015";"08";"015";"02";"015";"855";"DBSS"
"0801503001";"08";"015";"03";"001";"1755";"DBSS"
"0801503003";"08";"015";"03";"003";"2110";"DBSS"
"0801503004";"08";"015";"03";"004";"1680";"DBSS"
"0801503005";"08";"015";"03";"005";"1200";"DBSS"
"0801503006";"08";"015";"03";"006";"990";"DBSS"
"0801503007";"08";"015";"03";"007";"1255";"DBSS"
"0801503008";"08";"015";"03";"008";"545";"DBSS"
"0801503009";"08";"015";"03";"009";"795";"DBSS"
"0801503010";"08";"015";"03";"010";"1195";"DBSS"
"0801503011";"08";"015";"03";"011";"1460";"DBSS"
"0801503012";"08";"015";"03";"012";"1205";NA
"0801503013";"08";"015";"03";"013";"2540";"DBSS"
"0801504001";"08";"015";"04";"001";"1555";"DBSS"
"0801504002";"08";"015";"04";"002";"1510";"DBSS"
"0801504003";"08";"015";"04";"003";"1750";"DBSS"
"0801504004";"08";"015";"04";"004";"2220";"DBSS"
"0801504005";"08";"015";"04";"005";"1300";"DBSS"
"0801504006";"08";"015";"04";"006";"2235";"DBSS"
"0801504007";"08";"015";"04";"007";"2265";"DBSS"
"0801504008";"08";"015";"04";"008";"1460";"DBSS"
"0801504009";"08";"015";"04";"009";"975";"DBSS"
"0801504010";"08";"015";"04";"010";"970";"DBSS"
"0801504011";"08";"015";"04";"011";"1130";"DBSS"
"0801504012";"08";"015";"04";"012";"1595";"DBSS"
"0801504013";"08";"015";"04";"013";"1215";"DBSS"
"0801504014";"08";"015";"04";"014";"2510";"DBSS"
"0801504015";"08";"015";"04";"015";"1455";"DBSS"
"0801504016";"08";"015";"04";"016";"2270";"DBSS"
"0801505001";"08";"015";"05";"001";"2635";"DBSS"
"0801505002";"08";"015";"05";"002";"695";"DBSS"
"0801505003";"08";"015";"05";"003";"2455";"DBSS"
"0801505004";"08";"015";"05";"004";"2435";"DBSS"
"0801505005";"08";"015";"05";"005";"1760";"DBSS"
"0801505006";"08";"015";"05";"006";"1175";"DBSS"
"0801506001";"08";"015";"06";"001";"1350";"DBSS"
"0801506002";"08";"015";"06";"002";"1155";"DBSS"
"0801506003";"08";"015";"06";"003";"850";"DBSS"
"0801506004";"08";"015";"06";"004";"1615";"DBSS"
"0801506005";"08";"015";"06";"005";"1220";"DBSS"
"0801506006";"08";"015";"06";"006";"930";"DBSS"
"0801507001";"08";"015";"07";"001";"1545";"DBSS"
"0801507002";"08";"015";"07";"002";"2135";"DBSS"
"0801507003";"08";"015";"07";"003";"1525";"DBSS"
"0801507004";"08";"015";"07";"004";"1430";"DBSS"
"0801507005";"08";"015";"07";"005";"815";"DBSS"
"0801507006";"08";"015";"07";"006";"865";"DBSS"
"0801507007";"08";"015";"07";"007";"4300";"DBSS"
"0801507008";"08";"015";"07";"008";"1225";"DBSS"
"0801507009";"08";"015";"07";"009";"980";"DBSS"
