cmun,dist,secc,poblacio,codi_edar
8001,1,1,1521,DABR
8001,1,2,1849,DABR
8001,1,3,854,DABR
8001,1,4,1953,DABR
8001,1,5,1853,DABR
8001,1,7,2653,DABR
8001,1,8,1937,DABR
8002,1,1,286
8003,1,1,2772
8003,1,2,2521
8003,1,3,2229
8003,1,4,2432
8004,1,1,269
8005,1,1,2569
8005,1,2,1722
8005,1,3,2559
8005,1,4,1155
8005,1,5,782
8006,1,1,2521
8006,1,2,2323
8006,1,3,1227
8006,1,4,1290
8006,2,1,1778
8006,2,2,1954
8006,2,3,1854
8006,2,4,1322
8006,2,5,1673
8007,1,1,1606
8007,1,2,3105
8007,2,1,2154
8007,2,2,2326
8008,1,1,220
8009,1,1,841,DMAT
8009,1,2,1659,DMAT
8009,1,3,892,DMAT
8009,1,4,1968,DMAT
8009,1,5,1149,DMAT
8009,1,6,2202,DMAT
8009,2,1,1238,DMAT
8009,2,2,1440,DMAT
8009,2,3,1240,DMAT
8010,1,1,1473,DSLL
8010,2,1,1580,DSLL
8010,2,2,985,DSLL
8010,2,3,1744,DSLL
8011,1,1,2199
8012,1,1,2286
8013,1,1,1701,DVDP
8014,1,1,2556
8015,1,1,1496,DBSS
8015,1,2,1252,DBSS
8015,1,3,997,DBSS
8015,1,4,1431,DBSS
8015,1,5,1534,DBSS
8015,1,7,1237,DBSS
8015,2,1,1391,DBSS
8015,2,2,1711,DBSS
8015,2,3,941,DBSS
8015,2,4,2060,DBSS
8015,2,5,1285,DBSS
8015,2,7,1295,DBSS
8015,2,8,2274,DBSS
8015,2,9,1210,DBSS
8015,2,10,1537,DBSS
8015,2,11,1480,DBSS
8015,2,12,1059,DBSS
8015,2,13,1234,DBSS
8015,2,15,1094,DBSS
8015,3,1,3452,DBSS
8015,3,3,1922,DBSS
8015,3,4,1761,DBSS
8015,3,5,1687,DBSS
8015,3,6,1279,DBSS
8015,3,7,1278,DBSS
8015,3,8,724,DBSS
8015,3,9,1803,DBSS
8015,3,10,938,DBSS
8015,3,11,1240,DBSS
8015,3,13,1749,DBSS
8015,3,14,1489,DBSS
8015,4,1,2145,DBSS
8015,4,2,1595,DBSS
8015,4,3,1556,DBSS
8015,4,4,2356,DBSS
8015,4,5,1960,DBSS
8015,4,6,2580,DBSS
8015,4,7,1372,DBSS
8015,4,8,1345,DBSS
8015,4,9,914,DBSS
8015,4,10,1275,DBSS
8015,4,11,1590,DBSS
8015,4,12,1430,DBSS
8015,4,13,1122,DBSS
8015,4,14,2420,DBSS
8015,4,15,1366,DBSS
8015,4,16,1995,DBSS
8015,5,1,2255,DBSS
8015,5,2,813,DBSS
8015,5,3,3003,DBSS
8015,5,4,2004,DBSS
8015,5,5,2005,DBSS
8015,5,6,1215,DBSS
8015,5,7,1021,DBSS
8015,6,1,1379,DBSS
8015,6,2,1670,DBSS
8015,6,3,1103,DBSS
8015,6,4,1190,DBSS
8015,6,5,1312,DBSS
8015,6,6,969,DBSS
8015,7,1,1939,DBSS
8015,7,2,2291,DBSS
8015,7,3,1564,DBSS
8015,7,4,1152,DBSS
8015,7,5,917,DBSS
8015,7,6,1081,DBSS
8015,7,7,1242,DBSS
8015,7,8,1697,DBSS
8015,7,9,1692,DBSS
8015,7,10,950,DBSS
8015,7,11,2164,DBSS
8015,7,13,2454,DBSS
8015,7,14,1735,DBSS
8015,7,15,1094,DBSS
8015,7,17,3427,DBSS
8015,7,18,1437,DBSS
8015,7,20,1418,DBSS
8015,7,21,942,DBSS
8015,7,22,752,DBSS
8015,7,23,2064,DBSS
8015,7,24,1872,DBSS
8015,7,28,2107,DBSS
8015,7,29,1965,DBSS
8015,7,30,1921,DBSS
8015,7,31,1233,DBSS
8015,8,1,2858,DBSS
8015,8,2,2506,DBSS
8015,8,3,2088,DBSS
8015,8,4,757,DBSS
8015,8,5,960,DBSS
8015,8,6,1576,DBSS
8015,8,7,1378,DBSS
8015,8,8,1934,DBSS
8015,8,9,1242,DBSS
8015,8,11,837,DBSS
8015,8,12,2546,DBSS
8015,8,13,940,DBSS
8015,9,1,2272,DBSS
8015,9,2,1934,DBSS
8015,9,3,1084,DBSS
8015,9,4,2052,DBSS
8015,9,5,1144,DBSS
8015,9,6,1790,DBSS
8015,9,8,1463,DBSS
8015,9,9,1041,DBSS
8015,9,10,1172,DBSS
8015,9,11,1012,DBSS
8015,9,12,1596,DBSS
8015,9,13,789,DBSS
8015,9,14,1511,DBSS
8015,9,15,1866,DBSS
8015,9,16,1650,DBSS
8015,9,17,1952,DBSS
8015,9,18,1760,DBSS
8015,9,19,1248,DBSS
8015,9,20,633,DBSS
8015,9,21,1648,DBSS
8015,9,22,1380,DBSS
8015,9,23,1659,DBSS
8015,9,24,1948,DBSS
8015,9,25,1311,DBSS
8015,9,26,1233,DBSS
8015,9,27,961,DBSS
8015,9,28,2157,DBSS
8015,9,30,2068,DBSS
8015,9,31,932,DBSS
8015,9,32,1091,DBSS
8015,9,33,1513,DBSS
8015,9,34,1729,DBSS
8015,9,35,1583,DBSS
8015,9,36,1229,DBSS
8015,9,37,1735,DBSS
8015,9,38,1828,DBSS
8015,9,42,1504,DBSS
8015,9,43,1618,DBSS
8015,9,44,1020,DBSS
8015,9,45,1583,DBSS
8015,9,47,1103,DBSS
8015,9,49,1710,DBSS
8015,9,52,848,DBSS
8015,9,53,1179,DBSS
8015,9,54,1139,DBSS
8015,9,57,1301,DBSS
8015,9,58,1351,DBSS
8015,9,59,1144,DBSS
8016,1,1,2145
8017,1,1,2843
8017,1,2,1057
8018,1,1,1548
8018,1,2,1311
8018,1,3,419
8019,1,1,1273,DPDL
8019,1,2,1431,DPDL
8019,1,3,3544,DPDL
8019,1,4,2890,DPDL
8019,1,5,2360,DPDL
8019,1,6,1556,DPDL
8019,1,7,1969,DPDL
8019,1,8,3293,DPDL
8019,1,9,2196,DPDL
8019,1,10,2429,DPDL
8019,1,11,3242,DPDL
8019,1,12,1900,DPDL
8019,1,13,1442,DPDL
8019,1,14,2105,DPDL
8019,1,15,2280,DPDL
8019,1,16,2110,DPDL
8019,1,17,2544,DPDL
8019,1,18,1513,DPDL
8019,1,19,2895,DPDL
8019,1,20,2163,DPDL
8019,1,21,2093,DPDL
8019,1,22,1527,DPDL
8019,1,23,2014,DPDL
8019,1,25,1319,DPDL
8019,1,26,8269,DPDL
8019,1,27,1484,DPDL
8019,1,28,1867,DPDL
8019,1,29,1392,DPDL
8019,1,30,2409,DPDL
8019,1,31,1546,DPDL
8019,1,32,1790,DBSS
8019,1,33,1098,DBSS
8019,1,34,932,DBSS
8019,1,35,1215,DBSS
8019,1,36,1166,DBSS
8019,1,37,1355,DBSS
8019,1,38,1465,DBSS
8019,1,39,1321,DBSS
8019,1,40,1044,DBSS
8019,1,41,1529,DBSS
8019,1,42,1728,DBSS
8019,1,43,1560,DBSS
8019,1,44,1368,DBSS
8019,1,45,1932,DBSS
8019,1,46,1708,DBSS
8019,1,47,1717,DBSS
8019,1,48,2042,DBSS
8019,1,49,1454,DBSS
8019,1,50,1494,DBSS
8019,1,51,1819,DBSS
8019,1,52,2702,DBSS
8019,1,53,1808,DBSS
8019,1,54,1236,DBSS
8019,1,55,1291,DBSS
8019,2,1,1259,DBSS
8019,2,2,1890,DBSS
8019,2,3,1100,DBSS
8019,2,4,1521,DBSS
8019,2,5,2047,DBSS
8019,2,6,1650,DBSS
8019,2,7,1228,DBSS
8019,2,8,1870,DBSS
8019,2,9,1804,DBSS
8019,2,10,1218,DBSS
8019,2,11,1110,DBSS
8019,2,12,1538,DBSS
8019,2,13,1147,DBSS
8019,2,14,1352,DBSS
8019,2,15,1532,DBSS
8019,2,16,1841,DBSS
8019,2,17,1913,DBSS
8019,2,18,1798,DBSS
8019,2,19,1974,DBSS
8019,2,20,1470,DBSS
8019,2,21,1483,DBSS
8019,2,22,1326,DBSS
8019,2,23,1034,DBSS
8019,2,24,1133,DBSS
8019,2,25,1145,DBSS
8019,2,26,2147,DBSS
8019,2,27,2055,DBSS
8019,2,28,2049,DBSS
8019,2,29,1254,DBSS
8019,2,30,1333,DBSS
8019,2,31,1024,DBSS
8019,2,32,1116,DBSS
8019,2,33,1203,DBSS
8019,2,34,1165,DBSS
8019,2,35,1268,DBSS
8019,2,36,1175,DBSS
8019,2,37,1193,DBSS
8019,2,38,1541,DBSS
8019,2,39,1686,DBSS
8019,2,40,1672,DBSS
8019,2,41,1665,DBSS
8019,2,42,1555,DBSS
8019,2,43,1497,DBSS
8019,2,44,1288,DBSS
8019,2,45,1139,DBSS
8019,2,46,1928,DBSS
8019,2,47,1937,DBSS
8019,2,48,1273,DBSS
8019,2,49,2059,DBSS
8019,2,50,1623,DBSS
8019,2,51,1897,DBSS
8019,2,52,1773,DBSS
8019,2,53,1837,DBSS
8019,2,54,1846,DBSS
8019,2,55,1817,DBSS
8019,2,56,1454,DBSS
8019,2,57,1247,DBSS
8019,2,58,1359,DBSS
8019,2,59,1639,DBSS
8019,2,60,1695,DBSS
8019,2,61,1337,DBSS
8019,2,62,1506,DBSS
8019,2,63,1194,DBSS
8019,2,64,1302,DBSS
